VDD(V) VREF(V) IQ(A) POWER(W)
1.8 1.07397 3.12348E-05 5.62227E-05
1.9 1.08999 3.13051E-05 5.94798E-05
2.0 1.11265 3.51816E-05 7.03633E-05
2.1 1.14782 3.84979E-05 8.08456E-05
2.2 1.19424 4.38038E-05 9.63685E-05
2.3 1.24805 5.06367E-05 0.000116464
2.4 1.3069 5.93794E-05 0.000142511
2.5 1.36929 6.89538E-05 0.000172384
2.6 1.43431 7.96267E-05 0.000207029
2.7 1.50155 9.12105E-05 0.000246268
2.8 1.57052 0.000103834 0.000290737
2.9 1.64145 0.00011864 0.000344056
3.0 1.714 0.00013578 0.00040734
3.1 1.78835 0.000155381 0.000481682
3.2 1.86366 0.000173956 0.000556658
3.3 1.94045 0.000196517 0.000648507
